issue_id;url;code_seq_with_all_codes;code_seq_abbreviated;code_seq_with_selected_codes;step_seq_with_all_codes;step_seq_with_selected_codes;simplified_step_seq_with_all_codes;simplified_step_seq_with_selected_codes;unsorted_step_sequence_set;sorted_step_sequence_set;n_code_seq_all_codes;n_code_seq_selected_codes;n_step_seq_all_codes;n_step_seq_selected_codes;n_simplified_step_seq_all_codes;n_simplified_step_seq_selected_codes
833964;https://bugzilla.mozilla.org/show_bug.cgi?id=833964;PROBLEM_DESCRIPTION,STACK_TRACE,CLARIFICATION,QUESTION,PROBLEM_REVIEW,CLARIFICATION,PROBLEM_REVIEW,REPRODUCTION_ATTEMPT,REPRODUCTION_ATTEMPT,QUESTION,REPRODUCTION_ATTEMPT,REPRODUCTION_ATTEMPT,REPRODUCTION_ATTEMPT,INFO_REQUEST,ANSWER_TO_QUESTION,QUESTION,ASSIGNEE_REQUEST,PROBLEM_REVIEW,PROBLEM_REVIEW,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW_REQUEST,ISSUE_METADATA_CHANGE,CODE_REVIEW,CODE_IMPLEMENTATION,ISSUE_METADATA_CHANGE,SOLUTION_VERIFICATION,CLARIFICATION,ADDITIONAL_CONSIDERATION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,QUESTION,ANSWER_TO_QUESTION;PRB_DES,STC_TRC,CLARIFTN,QUESTN,PRB_REV,CLARIFTN,PRB_REV,REP_ATT,REP_ATT,QUESTN,REP_ATT,REP_ATT,REP_ATT,INFO_REQ,ANS_TO_Q,QUESTN,ASNE_REQ,PRB_REV,PRB_REV,POT_SOL_DES,COD_IMP,COD_REV_REQ,ISUE_REP_DCSN,COD_REV,COD_IMP,ISUE_REP_DCSN,SOL_VER,CLARIFTN,ADD_CON,ANS_TO_Q,ANS_TO_Q,QUESTN,ANS_TO_Q;PRB_DES,STC_TRC,PRB_REV,PRB_REV,REP_ATT,REP_ATT,REP_ATT,REP_ATT,REP_ATT,PRB_REV,PRB_REV,POT_SOL_DES,COD_IMP,COD_REV,COD_IMP,SOL_VER;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL,VER;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL,VER;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL,VER;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL,VER;ISU_DES,ISU_ANLYS,ISU_REP,SOL_DES,IMPL,CR,VER;CR,IMPL,ISU_ANLYS,ISU_DES,ISU_REP,SOL_DES,VER;33;33;9;9;9;9
835157;https://bugzilla.mozilla.org/show_bug.cgi?id=835157;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_DES,COD_IMP,COD_REV;PRB_DES,COD_IMP,COD_REV;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;3;3;3;3;3;3
837955;https://bugzilla.mozilla.org/show_bug.cgi?id=837955;PROBLEM_DESCRIPTION,ERROR_MESSAGE,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION;PRB_DES,ERR_MSG,POT_SOL_DES,COD_IMP;PRB_DES,ERR_MSG,POT_SOL_DES,COD_IMP;ISU_DES,SOL_DES,IMPL;ISU_DES,SOL_DES,IMPL;ISU_DES,SOL_DES,IMPL;ISU_DES,SOL_DES,IMPL;ISU_DES,SOL_DES,IMPL;IMPL,ISU_DES,SOL_DES;4;4;3;3;3;3
838565;https://bugzilla.mozilla.org/show_bug.cgi?id=838565;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW;PRB_DES,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV;PRB_DES,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;8;8;3;3;3;3
840284;https://bugzilla.mozilla.org/show_bug.cgi?id=840284;PROBLEM_DESCRIPTION,PROBLEM_MOTIVATION,REQUIREMENT,QUESTION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,POTENTIAL_SOLUTION_DESIGN,POTENTIAL_SOLUTION_DESIGN,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,CODE_IMPLEMENTATION,QUESTION,POTENTIAL_SOLUTION_DESIGN,POTENTIAL_SOLUTION_DESIGN,REQUIREMENT,SOLUTION_REVIEW,CLARIFICATION,ADDITIONAL_CONSIDERATION,CODE_IMPLEMENTATION,QUESTION,ANSWER_TO_QUESTION,SOLUTION_VERIFICATION,SOLUTION_VERIFICATION,SOLUTION_REVIEW_REQUEST,QUESTION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,SOLUTION_VERIFICATION;PRB_DES,PRB_MOTIV,REQRMNT,QUESTN,ANS_TO_Q,ANS_TO_Q,POT_SOL_DES,POT_SOL_DES,POT_SOL_DES,SOL_REV,POT_SOL_DES,SOL_REV,COD_IMP,QUESTN,POT_SOL_DES,POT_SOL_DES,REQRMNT,SOL_REV,CLARIFTN,ADD_CON,COD_IMP,QUESTN,ANS_TO_Q,SOL_VER,SOL_VER,SOL_REV_REQ,QUESTN,ANS_TO_Q,ANS_TO_Q,SOL_VER;PRB_DES,PRB_MOTIV,POT_SOL_DES,POT_SOL_DES,POT_SOL_DES,SOL_REV,POT_SOL_DES,SOL_REV,COD_IMP,POT_SOL_DES,POT_SOL_DES,SOL_REV,COD_IMP,SOL_VER,SOL_VER,SOL_VER;ISU_DES,SOL_DES,IMPL,SOL_DES,IMPL,VER,SOL_DES,VER;ISU_DES,SOL_DES,IMPL,SOL_DES,IMPL,VER;ISU_DES,SOL_DES,IMPL,VER,SOL_DES,VER;ISU_DES,SOL_DES,IMPL,VER;ISU_DES,SOL_DES,IMPL,VER;IMPL,ISU_DES,SOL_DES,VER;30;30;8;6;6;4
851828;https://bugzilla.mozilla.org/show_bug.cgi?id=851828;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_REVIEW,QUESTION,CODE_UPDATE_REQUEST,CLARIFICATION,ANSWER_TO_QUESTION,CODE_UPDATE_REQUEST,STATUS_UPDATE,CODE_IMPLEMENTATION,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION;PRB_DES,COD_IMP,COD_REV,QUESTN,COD_UP_REQ,CLARIFTN,ANS_TO_Q,COD_UP_REQ,STATS_UP,COD_IMP,IMP_REVRSN,COD_IMP;PRB_DES,COD_IMP,COD_REV,COD_IMP,IMP_REVRSN,COD_IMP;ISU_DES,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,VER;CR,IMPL,ISU_DES,VER;12;12;6;6;6;6
857034;https://bugzilla.mozilla.org/show_bug.cgi?id=857034;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_DES,COD_IMP,COD_REV;PRB_DES,COD_IMP,COD_REV;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;3;3;3;3;3;3
861246;https://bugzilla.mozilla.org/show_bug.cgi?id=861246;PROBLEM_DESCRIPTION,STATUS_UPDATE,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_DES,STATS_UP,COD_IMP,COD_REV;PRB_DES,COD_IMP,COD_REV;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;4;4;3;3;3;3
866470;https://bugzilla.mozilla.org/show_bug.cgi?id=866470;PROBLEM_DESCRIPTION,PROBLEM_REVIEW_REQUEST,PROBLEM_REVIEW_REQUEST,CODE_IMPLEMENTATION,QUESTION,ANSWER_TO_QUESTION;PRB_DES,PRB_REV_REQ,PRB_REV_REQ,COD_IMP,QUESTN,ANS_TO_Q;PRB_DES,COD_IMP;ISU_DES,ISU_ANLYS,IMPL;ISU_DES,IMPL;ISU_DES,ISU_ANLYS,IMPL;ISU_DES,IMPL;ISU_DES,IMPL;IMPL,ISU_DES;6;6;3;2;3;2
866474;https://bugzilla.mozilla.org/show_bug.cgi?id=866474;PROBLEM_DESCRIPTION,PROBLEM_MOTIVATION,PROBLEM_REVIEW,STATUS_UPDATE;PRB_DES,PRB_MOTIV,PRB_REV,STATS_UP;PRB_DES,PRB_MOTIV,PRB_REV;ISU_DES,ISU_ANLYS;ISU_DES,ISU_ANLYS;ISU_DES,ISU_ANLYS;ISU_DES,ISU_ANLYS;ISU_DES,ISU_ANLYS;ISU_ANLYS,ISU_DES;4;4;2;2;2;2
888630;https://bugzilla.mozilla.org/show_bug.cgi?id=888630;PROBLEM_DESCRIPTION,S2R,PROBLEM_DESCRIPTION,POTENTIAL_SOLUTION_DESIGN,ADDITIONAL_CONSIDERATION,SOLUTION_REVIEW,SOLVED_BY_OTHER_ISSUE;PRB_DES,S2R,PRB_DES,POT_SOL_DES,ADD_CON,SOL_REV,SLVD_BY_ISUE;PRB_DES,S2R,PRB_DES,POT_SOL_DES,SOL_REV;ISU_DES,SOL_DES;ISU_DES,SOL_DES;ISU_DES,SOL_DES;ISU_DES,SOL_DES;ISU_DES,SOL_DES;ISU_DES,SOL_DES;7;7;2;2;2;2
894646;https://bugzilla.mozilla.org/show_bug.cgi?id=894646;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,QUESTION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,QUESTION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,ANSWER_TO_QUESTION,CLARIFICATION,ANSWER_TO_QUESTION,CLARIFICATION,CODE_IMPLEMENTATION,QUESTION,CODE_REVIEW,QUESTION,CODE_REVIEW,CODE_UPDATE_REQUEST,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_UPDATE_REQUEST,CODE_REVIEW,CODE_REVIEW,CODE_UPDATE_REQUEST,CODE_REVIEW,CODE_REVIEW,CODE_UPDATE_REQUEST,CODE_REVIEW,CODE_REVIEW,CODE_UPDATE_REQUEST,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,QUESTION,CODE_REVIEW,QUESTION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,CODE_IMPLEMENTATION,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION;PRB_DES,COD_IMP,COD_REV,COD_REV,COD_REV,QUESTN,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,QUESTN,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,ANS_TO_Q,CLARIFTN,ANS_TO_Q,CLARIFTN,COD_IMP,QUESTN,COD_REV,QUESTN,COD_REV,COD_UP_REQ,COD_REV,COD_IMP,COD_IMP,COD_UP_REQ,COD_REV,COD_REV,COD_UP_REQ,COD_REV,COD_REV,COD_UP_REQ,COD_REV,COD_REV,COD_UP_REQ,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,QUESTN,COD_REV,QUESTN,ANS_TO_Q,ANS_TO_Q,COD_IMP,IMP_REVRSN,COD_IMP;PRB_DES,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_IMP,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,IMP_REVRSN,COD_IMP;ISU_DES,IMPL,CR,IMPL,CR,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,IMPL,CR,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,IMPL,VER,IMPL;ISU_DES,IMPL,CR,VER;CR,IMPL,ISU_DES,VER;65;65;10;10;6;6
894931;https://bugzilla.mozilla.org/show_bug.cgi?id=894931;PROBLEM_DESCRIPTION,S2R,PROBLEM_LOCALIZATION,REPRODUCTION_ATTEMPT,PROBLEM_LOCALIZATION,PROBLEM_LOCALIZATION,PROBLEM_REVIEW_REQUEST,PROBLEM_CAUSE_IDENTIFICATION,QUESTION,ANSWER_TO_QUESTION,PROBLEM_REVIEW,PROBLEM_REVIEW,CODE_IMPLEMENTATION,QUESTION,CODE_REVIEW,CLARIFICATION,QUESTION,PROBLEM_CAUSE_IDENTIFICATION,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,REQUEST_FOR_UPLIFT,CLARIFICATION,QUESTION,QUESTION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,CODE_UPDATE_REQUEST,QUESTION,CODE_IMPLEMENTATION,CODE_REVIEW,CLARIFICATION,ADDITIONAL_CONSIDERATION;PRB_DES,S2R,PRB_LOC,REP_ATT,PRB_LOC,PRB_LOC,PRB_REV_REQ,PRB_CUS_IDN,QUESTN,ANS_TO_Q,PRB_REV,PRB_REV,COD_IMP,QUESTN,COD_REV,CLARIFTN,QUESTN,PRB_CUS_IDN,POT_SOL_DES,COD_IMP,REQ_UPLFT,CLARIFTN,QUESTN,QUESTN,ANS_TO_Q,ANS_TO_Q,COD_UP_REQ,QUESTN,COD_IMP,COD_REV,CLARIFTN,ADD_CON;PRB_DES,S2R,PRB_LOC,REP_ATT,PRB_LOC,PRB_LOC,PRB_CUS_IDN,PRB_REV,PRB_REV,COD_IMP,COD_REV,PRB_CUS_IDN,POT_SOL_DES,COD_IMP,COD_IMP,COD_REV;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,IMPL,CR,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL,CR;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,IMPL,CR,ISU_ANLYS,SOL_DES,IMPL,CR;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,IMPL,CR,ISU_ANLYS,SOL_DES,IMPL,CR;ISU_DES,ISU_ANLYS,ISU_REP,ISU_ANLYS,IMPL,CR,ISU_ANLYS,SOL_DES,IMPL,CR;ISU_DES,ISU_ANLYS,ISU_REP,IMPL,CR,SOL_DES;CR,IMPL,ISU_ANLYS,ISU_DES,ISU_REP,SOL_DES;32;32;12;10;10;10
897027;https://bugzilla.mozilla.org/show_bug.cgi?id=897027;PROBLEM_DESCRIPTION,TEST_CASES,PROBLEM_DESCRIPTION,PROBLEM_REVIEW,ASSIGNEE_REQUEST,DEVELOPER_SELECTION_DECISION,REQUIREMENT,CODE_IMPLEMENTATION,CODE_UPDATE_REQUEST,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,QUESTION,ANSWER_TO_QUESTION,CODE_REVIEW,IMPLEMENTATION_REVERSION,QUESTION,ANSWER_TO_QUESTION,CODE_UPDATE_REQUEST,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,QUESTION,ANSWER_TO_QUESTION,CODE_REVIEW_REQUEST,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,VERIFICATION_REQUEST;PRB_DES,TST_CS,PRB_DES,PRB_REV,ASNE_REQ,DEV_SEL_DCSN,REQRMNT,COD_IMP,COD_UP_REQ,COD_IMP,COD_REV,COD_REV,COD_REV,COD_IMP,COD_REV,QUESTN,ANS_TO_Q,COD_REV,IMP_REVRSN,QUESTN,ANS_TO_Q,COD_UP_REQ,POT_SOL_DES,COD_IMP,QUESTN,ANS_TO_Q,COD_REV_REQ,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,COD_REV,VER_REQ;PRB_DES,TST_CS,PRB_DES,PRB_REV,COD_IMP,COD_IMP,COD_REV,COD_REV,COD_REV,COD_IMP,COD_REV,COD_REV,IMP_REVRSN,POT_SOL_DES,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,COD_REV;ISU_DES,ISU_ANLYS,IMPL,CR,IMPL,CR,IMPL,CR,VER,CR,SOL_DES,IMPL,CR,IMPL,CR,VER;ISU_DES,ISU_ANLYS,IMPL,CR,IMPL,CR,VER,SOL_DES,IMPL,CR,IMPL,CR;ISU_DES,ISU_ANLYS,IMPL,CR,VER,CR,SOL_DES,IMPL,CR,VER;ISU_DES,ISU_ANLYS,IMPL,CR,VER,SOL_DES,IMPL,CR;ISU_DES,ISU_ANLYS,IMPL,CR,VER,SOL_DES;CR,IMPL,ISU_ANLYS,ISU_DES,SOL_DES,VER;36;36;16;12;10;8
904571;https://bugzilla.mozilla.org/show_bug.cgi?id=904571;PROBLEM_DESCRIPTION,STACK_TRACE,PROBLEM_REVIEW,STATUS_UPDATE,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW_REQUEST,CODE_REVIEW,QUESTION,QUESTION,QUESTION,QUESTION,QUESTION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,CLARIFICATION,CODE_IMPLEMENTATION;PRB_DES,STC_TRC,PRB_REV,STATS_UP,POT_SOL_DES,COD_IMP,COD_REV,COD_REV_REQ,COD_REV,QUESTN,QUESTN,QUESTN,QUESTN,QUESTN,ANS_TO_Q,ANS_TO_Q,ANS_TO_Q,ANS_TO_Q,CLARIFTN,COD_IMP;PRB_DES,STC_TRC,PRB_REV,POT_SOL_DES,COD_IMP,COD_REV,COD_REV,COD_IMP;ISU_DES,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL,CR;CR,IMPL,ISU_ANLYS,ISU_DES,SOL_DES;20;20;6;6;6;6
906912;https://bugzilla.mozilla.org/show_bug.cgi?id=906912;PROBLEM_DESCRIPTION,PROBLEM_MOTIVATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,QUESTION,CLARIFICATION,SOLUTION_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION,SOLUTION_REVIEW,QUESTION,ANSWER_TO_QUESTION,POTENTIAL_SOLUTION_DESIGN,POTENTIAL_SOLUTION_DESIGN,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW;PRB_DES,PRB_MOTIV,COD_IMP,COD_IMP,POT_SOL_DES,SOL_REV,QUESTN,CLARIFTN,SOL_REV,COD_REV,COD_IMP,SOL_REV,QUESTN,ANS_TO_Q,POT_SOL_DES,POT_SOL_DES,POT_SOL_DES,SOL_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV;PRB_DES,PRB_MOTIV,COD_IMP,COD_IMP,POT_SOL_DES,SOL_REV,SOL_REV,COD_REV,COD_IMP,SOL_REV,POT_SOL_DES,POT_SOL_DES,POT_SOL_DES,SOL_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV;ISU_DES,IMPL,SOL_DES,CR,IMPL,SOL_DES,IMPL,CR;ISU_DES,IMPL,SOL_DES,CR,IMPL,SOL_DES,IMPL,CR;ISU_DES,IMPL,SOL_DES,CR,IMPL,SOL_DES,IMPL,CR;ISU_DES,IMPL,SOL_DES,CR,IMPL,SOL_DES,IMPL,CR;ISU_DES,IMPL,SOL_DES,CR;CR,IMPL,ISU_DES,SOL_DES;25;25;8;8;8;8
912496;https://bugzilla.mozilla.org/show_bug.cgi?id=912496;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_UPDATE_REQUEST,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,QUESTION,CODE_REVIEW,CODE_REVIEW,QUESTION,CODE_IMPLEMENTATION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,CODE_REVIEW,CODE_REVIEW,NEW_ISSUE_FILING,CODE_REVIEW,CODE_UPDATE_REQUEST,CODE_REVIEW,QUESTION,NEW_ISSUE_FILING;PRB_DES,COD_IMP,COD_REV,COD_UP_REQ,COD_REV,COD_REV,COD_REV,QUESTN,COD_REV,COD_REV,QUESTN,COD_IMP,ANS_TO_Q,ANS_TO_Q,COD_REV,COD_REV,FLD_NW_ISUE,COD_REV,COD_UP_REQ,COD_REV,QUESTN,FLD_NW_ISUE;PRB_DES,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV;ISU_DES,IMPL,CR,IMPL,CR;ISU_DES,IMPL,CR,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;22;22;5;5;3;3
919434;https://bugzilla.mozilla.org/show_bug.cgi?id=919434;PROBLEM_DESCRIPTION,TEST_CASES,PROBLEM_CAUSE_IDENTIFICATION,STACK_TRACE,STACK_TRACE,PROBLEM_CAUSE_IDENTIFICATION,QUESTION,ANSWER_TO_QUESTION,ISSUE_IMPACT,REPRODUCTION_ATTEMPT,SOLVED_BY_OTHER_ISSUE,CLARIFICATION,SOLUTION_VERIFICATION,SOLUTION_VERIFICATION,SOLUTION_VERIFICATION;PRB_DES,TST_CS,PRB_CUS_IDN,STC_TRC,STC_TRC,PRB_CUS_IDN,QUESTN,ANS_TO_Q,ISUE_IMPCT,REP_ATT,SLVD_BY_ISUE,CLARIFTN,SOL_VER,SOL_VER,SOL_VER;PRB_DES,TST_CS,PRB_CUS_IDN,STC_TRC,STC_TRC,PRB_CUS_IDN,REP_ATT,SOL_VER,SOL_VER,SOL_VER;ISU_DES,ISU_ANLYS,ISU_DES,ISU_ANLYS,ISU_REP,VER;ISU_DES,ISU_ANLYS,ISU_DES,ISU_ANLYS,ISU_REP,VER;ISU_DES,ISU_ANLYS,ISU_REP,VER;ISU_DES,ISU_ANLYS,ISU_REP,VER;ISU_DES,ISU_ANLYS,ISU_REP,VER;ISU_ANLYS,ISU_DES,ISU_REP,VER;15;15;6;6;4;4
924397;https://bugzilla.mozilla.org/show_bug.cgi?id=924397;PROBLEM_DESCRIPTION,STACK_TRACE,S2R,CODE_IMPLEMENTATION,CODE_REVIEW_REQUEST;PRB_DES,STC_TRC,S2R,COD_IMP,COD_REV_REQ;PRB_DES,STC_TRC,S2R,COD_IMP;ISU_DES,IMPL,CR;ISU_DES,IMPL;ISU_DES,IMPL,CR;ISU_DES,IMPL;ISU_DES,IMPL;IMPL,ISU_DES;5;5;3;2;3;2
927544;https://bugzilla.mozilla.org/show_bug.cgi?id=927544;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_REVIEW,SOLVED_BY_OTHER_ISSUE;PRB_DES,COD_IMP,COD_REV,SLVD_BY_ISUE;PRB_DES,COD_IMP,COD_REV;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;4;4;3;3;3;3
937475;https://bugzilla.mozilla.org/show_bug.cgi?id=937475;PROBLEM_DESCRIPTION,TEST_CASES,TEST_CASES,PROBLEM_REVIEW,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,REQUIREMENT,ISSUE_IMPACT;PRB_DES,TST_CS,TST_CS,PRB_REV,COD_IMP,COD_IMP,REQRMNT,ISUE_IMPCT;PRB_DES,TST_CS,TST_CS,PRB_REV,COD_IMP,COD_IMP;ISU_DES,ISU_ANLYS,IMPL;ISU_DES,ISU_ANLYS,IMPL;ISU_DES,ISU_ANLYS,IMPL;ISU_DES,ISU_ANLYS,IMPL;ISU_DES,ISU_ANLYS,IMPL;IMPL,ISU_ANLYS,ISU_DES;8;8;3;3;3;3
939475;https://bugzilla.mozilla.org/show_bug.cgi?id=939475;PROBLEM_DESCRIPTION,ERROR_MESSAGE,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_UPDATE_REQUEST,CODE_IMPLEMENTATION;PRB_DES,ERR_MSG,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_REV,COD_UP_REQ,COD_IMP;PRB_DES,ERR_MSG,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_REV,COD_IMP;ISU_DES,IMPL,CR,IMPL,CR,IMPL;ISU_DES,IMPL,CR,IMPL,CR,IMPL;ISU_DES,IMPL,CR,IMPL;ISU_DES,IMPL,CR,IMPL;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;9;9;6;6;4;4
