issue_id;url;code_seq_with_all_codes;code_seq_abbreviated;code_seq_with_selected_codes;stage_seq_with_selected_codes;n_code_seq_all_codes;n_code_seq_selected_codes;n_stage_seq_selected_codes
1515665;https://bugzilla.mozilla.org/show_bug.cgi?id=1515665;PROBLEM_CAUSE_IDENTIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,SOLUTION_VERIFICATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION;PRB_CUS_IDN,COD_IMP,COD_REV,IMP_REVRSN,COD_IMP,COD_REV,COD_REV,POT_SOL_DES,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_REV,COD_REV,COD_IMP,COD_IMP,COD_IMP,SOL_VER,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP;PRB_CUS_IDN,COD_IMP,COD_REV,IMP_REVRSN,COD_IMP,COD_REV,COD_REV,POT_SOL_DES,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_REV,COD_REV,COD_IMP,COD_IMP,COD_IMP,SOL_VER,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP;ISU_ANLYS,IMPL,CR,VER,IMPL,CR,SOL_DES,IMPL,CR,IMPL,VER,IMPL,CR,IMPL;29;29;14
1565273;https://bugzilla.mozilla.org/show_bug.cgi?id=1565273;PROBLEM_LOCALIZATION,PROBLEM_REVIEW_REQUEST,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_REVIEW_REQUEST,VERIFICATION_REQUEST,CODE_REVIEW,CODE_REVIEW,PROBLEM_CAUSE_IDENTIFICATION,PROBLEM_CAUSE_IDENTIFICATION,SOLUTION_VERIFICATION,PROBLEM_REVIEW,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION,IMPLEMENTATION_REVERSION,NEW_ISSUE_FILING,CODE_IMPLEMENTATION,VERIFICATION_REQUEST,UPLIFT_APPROVAL,CODE_UPDATE_REQUEST,CODE_IMPLEMENTATION,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW,IMPLEMENTATION_REVERSION,SOLUTION_VERIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW_REQUEST,CODE_REVIEW,UPLIFT_APPROVAL,SOLUTION_VERIFICATION;PRB_LOC,PRB_REV_REQ,COD_IMP,COD_IMP,COD_REV_REQ,VER_REQ,COD_REV,COD_REV,PRB_CUS_IDN,PRB_CUS_IDN,SOL_VER,PRB_REV,IMP_REVRSN,COD_IMP,IMP_REVRSN,FLD_NW_ISUE,COD_IMP,VER_REQ,UPLFT_APRV,COD_UP_REQ,COD_IMP,POT_SOL_DES,COD_IMP,COD_REV,IMP_REVRSN,SOL_VER,COD_IMP,COD_REV_REQ,COD_REV,UPLFT_APRV,SOL_VER;PRB_LOC,COD_IMP,COD_IMP,COD_REV,COD_REV,PRB_CUS_IDN,PRB_CUS_IDN,SOL_VER,PRB_REV,IMP_REVRSN,COD_IMP,IMP_REVRSN,COD_IMP,UPLFT_APRV,COD_IMP,POT_SOL_DES,COD_IMP,COD_REV,IMP_REVRSN,SOL_VER,COD_IMP,COD_REV,UPLFT_APRV,SOL_VER;ISU_ANLYS,IMPL,CR,ISU_ANLYS,VER,ISU_ANLYS,VER,IMPL,VER,IMPL,VER,IMPL,SOL_DES,IMPL,CR,VER,IMPL,CR,VER;31;31;19
1823751;https://bugzilla.mozilla.org/show_bug.cgi?id=1823751;REPRODUCTION_ATTEMPT,PROBLEM_CAUSE_IDENTIFICATION,PROBLEM_REVIEW_REQUEST,PROBLEM_REVIEW,PROBLEM_REVIEW_REQUEST,REPRODUCTION_ATTEMPT,PROBLEM_CAUSE_IDENTIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,UPLIFT_APPROVAL,SOLUTION_VERIFICATION,ISSUE_IMPACT;REP_ATT,PRB_CUS_IDN,PRB_REV_REQ,PRB_REV,PRB_REV_REQ,REP_ATT,PRB_CUS_IDN,COD_IMP,COD_REV,UPLFT_APRV,SOL_VER,ISUE_IMPCT;REP_ATT,PRB_CUS_IDN,PRB_REV,REP_ATT,PRB_CUS_IDN,COD_IMP,COD_REV,UPLFT_APRV,SOL_VER;ISU_REP,ISU_ANLYS,ISU_REP,ISU_ANLYS,IMPL,CR,VER;12;12;7
1821213;https://bugzilla.mozilla.org/show_bug.cgi?id=1821213;ISSUE_IMPACT,PROBLEM_REVIEW_REQUEST,PROBLEM_CAUSE_IDENTIFICATION,PROBLEM_CAUSE_IDENTIFICATION,PROBLEM_CAUSE_IDENTIFICATION,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW;ISUE_IMPCT,PRB_REV_REQ,PRB_CUS_IDN,PRB_CUS_IDN,PRB_CUS_IDN,POT_SOL_DES,COD_IMP,COD_REV;PRB_CUS_IDN,PRB_CUS_IDN,PRB_CUS_IDN,POT_SOL_DES,COD_IMP,COD_REV;ISU_ANLYS,SOL_DES,IMPL,CR;8;8;4
1820814;https://bugzilla.mozilla.org/show_bug.cgi?id=1820814;POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW;POT_SOL_DES,COD_IMP,COD_REV;POT_SOL_DES,COD_IMP,COD_REV;SOL_DES,IMPL,CR;3;3;3
1818468;https://bugzilla.mozilla.org/show_bug.cgi?id=1818468;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1815706;https://bugzilla.mozilla.org/show_bug.cgi?id=1815706;POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW,IMPLEMENTATION_REVERSION,CODE_REVIEW_REQUEST,CODE_IMPLEMENTATION,UPLIFT_APPROVAL,SOLUTION_VERIFICATION;POT_SOL_DES,COD_IMP,COD_REV,IMP_REVRSN,COD_REV_REQ,COD_IMP,UPLFT_APRV,SOL_VER;POT_SOL_DES,COD_IMP,COD_REV,IMP_REVRSN,COD_IMP,UPLFT_APRV,SOL_VER;SOL_DES,IMPL,CR,VER,IMPL,VER;8;8;6
1811466;https://bugzilla.mozilla.org/show_bug.cgi?id=1811466;PROBLEM_LOCALIZATION,CODE_IMPLEMENTATION,CODE_REVIEW,UPLIFT_APPROVAL,SOLUTION_VERIFICATION;PRB_LOC,COD_IMP,COD_REV,UPLFT_APRV,SOL_VER;PRB_LOC,COD_IMP,COD_REV,UPLFT_APRV,SOL_VER;ISU_ANLYS,IMPL,CR,VER;5;5;4
1809080;https://bugzilla.mozilla.org/show_bug.cgi?id=1809080;SOLUTION_REVIEW_REQUEST,SOLUTION_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,UPLIFT_APPROVAL,SOLUTION_VERIFICATION;SOL_REV_REQ,SOL_REV,COD_IMP,COD_REV,COD_IMP,COD_REV,UPLFT_APRV,SOL_VER;SOL_REV,COD_IMP,COD_REV,COD_IMP,COD_REV,UPLFT_APRV,SOL_VER;SOL_DES,IMPL,CR,IMPL,CR,VER;8;8;6
1794406;https://bugzilla.mozilla.org/show_bug.cgi?id=1794406;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1794237;https://bugzilla.mozilla.org/show_bug.cgi?id=1794237;PROBLEM_REVIEW,PROBLEM_REVIEW,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION,SOLVED_BY_OTHER_ISSUE,CODE_IMPLEMENTATION,CODE_REVIEW,UPLIFT_APPROVAL;PRB_REV,PRB_REV,POT_SOL_DES,SOL_REV,COD_IMP,COD_REV,IMP_REVRSN,COD_IMP,SLVD_BY_ISUE,COD_IMP,COD_REV,UPLFT_APRV;PRB_REV,PRB_REV,POT_SOL_DES,SOL_REV,COD_IMP,COD_REV,IMP_REVRSN,COD_IMP,COD_IMP,COD_REV,UPLFT_APRV;ISU_ANLYS,SOL_DES,IMPL,CR,VER,IMPL,CR,VER;12;12;8
1792203;https://bugzilla.mozilla.org/show_bug.cgi?id=1792203;CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,PROBLEM_REVIEW_REQUEST,SOLUTION_VERIFICATION,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION,IMPLEMENTATION_REVERSION,COLLATERAL_PROBLEM_ANALYSIS,COLLATERAL_PROBLEM_ANALYSIS,CODE_IMPLEMENTATION;COD_IMP,COD_REV,COD_IMP,COD_REV,PRB_REV_REQ,SOL_VER,IMP_REVRSN,COD_IMP,IMP_REVRSN,CO_PRB_CUS,CO_PRB_CUS,COD_IMP;COD_IMP,COD_REV,COD_IMP,COD_REV,SOL_VER,IMP_REVRSN,COD_IMP,IMP_REVRSN,CO_PRB_CUS,CO_PRB_CUS,COD_IMP;IMPL,CR,IMPL,CR,VER,IMPL,VER,IMPL;12;12;8
1790543;https://bugzilla.mozilla.org/show_bug.cgi?id=1790543;CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_VERIFICATION,SOLUTION_VERIFICATION;COD_IMP,COD_REV,SOL_VER,SOL_VER;COD_IMP,COD_REV,SOL_VER,SOL_VER;IMPL,CR,VER;4;4;3
